Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SH_STA_SCIDE,,PER_100000_POP,A,0,,7.0
2015,SH_STA_SCIDE,,PER_100000_POP,A,0,,5.0
2016,SH_STA_SCIDE,,PER_100000_POP,A,0,,7.0
2017,SH_STA_SCIDE,,PER_100000_POP,A,0,,9.0
2018,SH_STA_SCIDE,,PER_100000_POP,A,0,,2.0
2019,SH_STA_SCIDE,,PER_100000_POP,A,0,,8.0
2020,SH_STA_SCIDE,,PER_100000_POP,A,0,,6.8
2021,SH_STA_SCIDE,,PER_100000_POP,A,0,,5.8
2022,SH_STA_SCIDE,,PER_100000_POP,A,0,,6.5
2023,SH_STA_SCIDE,,PER_100000_POP,A,0,,8.2
2024,SH_STA_SCIDE,,PER_100000_POP,A,0,,5.8
