Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2015,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2016,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2017,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2018,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2019,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2020,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
2021,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,72.7
2022,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,72.7
2023,A,0,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,SG_INT_MBRDEV,,PT,2023,,63.6
