Year,Value,SERIES
2016,27.9,_L_KE_170102_01
2017,27.5,_L_KE_170102_01
2018,24.9,_L_KE_170102_01
2019,23.8,_L_KE_170102_01
2020,27.2,_L_KE_170102_01
2021,25.4,_L_KE_170102_01
2022,29.3,_L_KE_170102_01
2023,29.9,_L_KE_170102_01
2016,14.3,_L_KE_170102_02
2017,14.9,_L_KE_170102_02
2018,13.9,_L_KE_170102_02
2019,14.4,_L_KE_170102_02
2020,14.8,_L_KE_170102_02
2021,15.0,_L_KE_170102_02
2022,17.5,_L_KE_170102_02
2023,17.5,_L_KE_170102_02
2016,13.6,_L_KE_170102_03
2017,11.0,_L_KE_170102_03
2018,10.7,_L_KE_170102_03
2019,10.2,_L_KE_170102_03
2020,11.2,_L_KE_170102_03
2021,12.8,_L_KE_170102_03
2022,12.2,_L_KE_170102_03
2023,11.9,_L_KE_170102_03
2016,5.1,_L_KE_170102_04
2017,5.8,_L_KE_170102_04
2018,5.4,_L_KE_170102_04
2019,5.3,_L_KE_170102_04
2020,5.8,_L_KE_170102_04
2021,6.5,_L_KE_170102_04
2022,6.9,_L_KE_170102_04
2023,5.9,_L_KE_170102_04
