Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,ST_GDP_ZS,,PT,,0.9
2015,ST_GDP_ZS,,PT,,0.9
2016,ST_GDP_ZS,,PT,,0.9
2017,ST_GDP_ZS,,PT,,1.0
2018,ST_GDP_ZS,,PT,,1.1
2019,ST_GDP_ZS,,PT,,1.2
2020,ST_GDP_ZS,,PT,,0.7
2021,ST_GDP_ZS,,PT,,1.1
2022,ST_GDP_ZS,,PT,,1.1
2023,ST_GDP_ZS,,PT,,1.3
2024,ST_GDP_ZS,,PT,,1.6
2014,_L_KE_080901_01,,PT,,-18.7
2015,_L_KE_080901_01,,PT,,5.4
2016,_L_KE_080901_01,,PT,,6.9
2017,_L_KE_080901_01,,PT,,9.4
2018,_L_KE_080901_01,,PT,,15.6
2019,_L_KE_080901_01,,PT,,14.3
2020,_L_KE_080901_01,,PT,,-47.7
2021,_L_KE_080901_01,,PT,,52.6
2022,_L_KE_080901_01,,PT,,26.8
2023,_L_KE_080901_01,,PT,,33.6
2024,_L_KE_080901_01,,PT,,25.7
