Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,60.3,,PT,SP_ACS_BSRVH2O
2022,67.9,,PT,SP_ACS_BSRVH2O
2024,76.6,,PT,SP_ACS_BSRVH2O
2014,24.7,,PT,SP_ACS_BSRVSAN
2022,40.9,,PT,SP_ACS_BSRVSAN
2024,71.0,,PT,SP_ACS_BSRVSAN
2014,16.6,,PT,_L_KE_010401_01
2022,51.3,,PT,_L_KE_010401_01
2024,24.2,,PT,_L_KE_010401_01
2016,33.8,,PT,_L_KE_010401_02
2022,49.6,,PT,_L_KE_010401_02
2024,65.5,,PT,_L_KE_010401_02
2014,11.9,,PT,_L_KE_010401_03
2016,14.6,,PT,_L_KE_010401_03
2018,19.8,,PT,_L_KE_010401_03
2019,25.4,,PT,_L_KE_010401_03
2020,23.1,,PT,_L_KE_010401_03
2021,27.2,,PT,_L_KE_010401_03
2022,21.2,,PT,_L_KE_010401_03
2024,34.4,,PT,_L_KE_010401_03
