Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2015,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2016,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2017,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2018,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2019,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2020,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2021,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2022,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
2023,Normal value,Units,KNBS Strategic Plan                                      (2013-2017)                                         (2018-2022),KNBS,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],,Boolean or binary measure,2023,,1
