Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2016,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,Percent,Normal value,Units,,70.4
2024,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,,Percent,Normal value,Units,,61.0
2024,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,Rural,Percent,Normal value,Units,,65.0
2024,Proportion of population that feel safe walking alone around the area they live in [16.1.4],,Urban,Percent,Normal value,Units,,53.0
