Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2022,Normal value,Units,Covers women 15-49 years,KDHS,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,2022,,13.6
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,2022,,23.8
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,2022,,22.1
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,2022,,23.4
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,2022,,24.3
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,2022,,24.6
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,2022,,19.0
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,2022,,16.0
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,2022,,13.0
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,2022,,22.5
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,2022,,19.6
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,2022,,24.8
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,2022,,23.8
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,2022,,24.1
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,2022,,25.0
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,2022,,26.1
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,2022,,25.0
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,2022,,23.2
2022,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,2022,,22.5
2014,Normal value,Units,,KDHS,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,2022,,22.6
